,,,
remarkable,adj.,非凡的；不同尋常的；引人注目的
progress,n.[U],進步；進展,
digital,adj.,數位的；數字的
counter,n,櫃檯
counter,v,駁回/反擊
counter,adj,相反的
counter,adv,相反地
representation,n,代表
fortunate,adj,幸運的
misfortune,n,不幸
triumph,n,勝利、勝利的喜悅
triumph,v,戰勝
triumphant,adj,勝利的
mutual,adj,彼此的、共通的
mutually,adv,彼此地、互相
invention,n,發明
adapt,v,使適應/改編
correspond,v,通信/與～符合、一致
scarcely,adv,幾乎不
scarcity,n,稀少
divorce,n,離婚
divorce,v,離婚
divorced,adj,離婚的
register,v,註冊
register,v,登記
register,v,以掛號寄
register,n,登記簿
reward,n,獎賞
reward,v,報酬
reward,n,作為報酬
rewarding,adj,有成就感的
empire,n,帝國
gaze,n,凝視
gaze,v,凝視
aggressive,adj,侵略性的
aggressive,adj,積極的
hydrogen,n,氫
oxygen,n,氧氣
hatred,n,憎恨
carrier,n,航空公司
carrier,n,航空母鑑
carrier,n,帶原者
delight,n,愉悅
delight,v,愉悅
delightful,adj,令人愉快的
delighted,adj,感到高興的
cabinet,n,櫃子
voluntary,adj,自願的
voluntarily,adv,自願地
involuntary,adj,非自願
volunteer,n,志工
volunteer,v,自願
functional,adj,功能上的
splendid,adj,壯麗的
classify,v,分類
classification,n,分類
classified,adj,分類的
classified,adj,機密的
crush,n,迷戀
crush,v,壓碎
crush,v,鎮壓
promising,adj,有前途的
collapse,v/n,倒塌;暴跌;衰退;倒塌
strive,v,奮力爭取
murderer,n,兇手
genius,n,天才
orientation,n,定位;取向;職前訓練;新生訓練
violate,v,違反;侵犯
violate,v,侵犯
violation,n,違反;侵犯
violation,n,侵犯
conductor,n,指揮者;導體
semiconductor,n,半導體
fatal,adj,致命的
fatality,n,致命
invest,v,投資
investment,n,投資
investor,n,投資者
penalty,n,刑罰
death penalty,n,死刑
invade,v,侵入;侵略
invasion,n,入侵;侵略
invader,n,入侵者
tour,n,旅行;參訪
tourism,n,觀光業
traveler,n,旅客
leap,n/v,跳躍
fade,v,褪色;消失;凋謝
deck,n,甲板;(公車)層
leather,n,皮革
mayor,n,市長
disk,n,圓盤;(電腦)光碟片
strategy,n,策略
benefit,n,好處;益處
benefit,v,有益於;對...有益
glance,n,一瞥
glance,vi,瞥一眼
replace,vt,取代
barn,n,穀倉
opposite,adj,相反的、對立的
vanish,v,消失；滅絕
patient,adj,有耐心的
patient,n,病人
crawl,v,爬行;緩慢的移動
crawl,n,緩慢移動;徐行
bubble,n,泡泡
mobile,adj,可移動的；行動的
vivid,adj,生動的；鮮明的
bury,vt,埋葬;掩埋
ambassador,n,大使
graduate,v,畢業
graduate,n,畢業生
grab,vt,抓取
grasp,vt,抓緊;理解
appeal,n,吸引力;魅力(to sb)
appealing,adj,有吸引力的
continent,n,大陸；洲
historian,n,歷史學家
farther,adj,更遠的
further,adj,更進一步的;更深入的
weep,v,哭泣
boot,n,長靴
boot,vt,啟動電腦
twist,v,扭曲;扭轉
rooster,n,公雞
cocktail,n,雞尾酒
wander,vi,漫步;徘徊;迷路;偏離正題
trace,n,痕跡;蹤跡;少量
trace,vt,追蹤;回溯
miracle,n,奇蹟
evil,n,邪惡
evil,adj,邪惡的
devil,n,惡魔
angel,n,天使;守護神;可愛的人
process,n,過程
process,vt,加工;處理
processed food,n,加工食品
automobile,n,汽車
device,n,裝置
council,n,議會
councilor,n,議員
concept,n,概念/觀念
moreover/furthermore,adv,而且/此外
nevertheless/nonetheless,adv,然而
otherwise,adv,否則/用其他的方法、不同地/其他方面
declear,v,宣告/申報（納稅品）
nuclear,adj,核能的
nuclear power plant, ,核能發電廠
tension,n,緊張/拉緊、緊繃
tense,adj/n/v,緊張的/緊繃的；時態；緊張
compaign,n/v,政治活動或社團活動；從事競選活動/發動、從事社會活動
identify,v,指認/認同/視為同一
identification,n,指認/證明身分的文件
identical,adj,完全相同
construction,n,建築施工
under construction, ,施工中
construct,v,建造
constructive,adj,建設性的
application,n,申請/應用
applicant,n,申請人
recall,v/n,憶起/召回/罷免
combination,n,結合/號碼鎖的密碼
arise,v,發生
behavior,n,行為
annual,adj,一年一度的
annually,adv,每年地
anniversary,n,週年紀念日
devote,v,奉獻
devoted,adj,忠誠的、奉獻的
analysis,n,分析
analyze,v,分析
essential,adj/n,必要的/基本的；基本要素、要點
essentially,adv,基本上
capitalism,n,資本主義
capitalist,n,資本家
accomplish,v,完成
accomplished,adj,造詣很高、技術精湛的
accomplishment,n,完成/成就
intend,v,打算
intention,n,意圖
good intentions, ,善意
intentional,adj,有意的、故意的
emerge,v,出現
emergence,n,出現
emergency, ,緊急狀況
financial,adj,財務的
finance,n/v,財務；提供資金
financially,adv,財政上地
philosophy,n,哲學
philosophy of life, ,人生觀
philosopher,n,哲學家
philosophical,adj,哲學的
impression,n,印象(ofN)
accompany,v,陪同/陪伴/伴隨~而來
companion,n,同伴
companionship,n,交誼/友誼/陪伴
assign,v,指派
assignment,n,作業/任務
preservation,n,保存
preserve,v,保存
preservative,n,防腐劑
distinguish,v,區分
distinguished,adj,傑出的
exception,n,例外
impact,n,衝擊
impact,v,衝擊、撞擊
vast,adj,龐大的、廣大的
enormous,adj,巨大的/龐大的
urge,n/v,強烈渴求；催促、力勸
urgent,adj,緊急的
minister,n,部長/牧師
ministry,n,部/神職
investigation,n,調查
exchange,n.[C],（不同國家人民的）交流，交換（計畫）
exchange,n.[C U],交換
exchange,vt.,交換
expect,vt.,預期
expectation,n.[C U],期望；預期
shelter,vt.,遮蔽
shelter,n.[C],庇護處
shelter,n.[U],遮蔽
fierce,adj.,（天氣狀況）強烈的
fierce,adj.,（動作或情感）激烈的
occupy,vt.,占據（時間或空間）
occupy,vt.,占領
occupation,n.[C],職業
vehicle,n.[C],車輛；交通工具
temporary,adj.,臨時的；暫時的
assistant,n.[C],助手；助理
assist,vt.vi.,幫助
assistance,n.[U],幫助
originate,vi.,起源
origin,n.[C U],起源
original,adj.,原本的
event,n.[C],事件
elder,n.[C],長輩
elder,adj.,（家庭成員）較為年長的
elderly,adj.,年紀大的
neighborhood,n.[C],鄰近地區
cooperate,vi.,合作
cooperation,n.[U],合作
arrange,vt.vi.,安排
arrangement,n.[C],安排
relax,vi.,放鬆
container,n.[C],容器
contain,vt.,包含
stroll,vi.,散步
stroll,n.[C],散步
spirit,n.sing.,基本精神；本質
spirit,n.[U],精神；心靈
spiritual,adj.,精神上的
take part in,,參加
take place,,舉行；發生
come about,,發生
help (...) out,,幫忙
hand out,,發放
medium,n.,媒介；方法、手段（複數為 mediums 或 media）
overtake,v.,超越、趕上
format,n.,格式、形式
dominate,v.,主導、支配、在⋯⋯中占首要地位
emergence,n.,出現、興起
funeral,n.,葬禮（可用來指某事物的終結、不復存在）
modest,adj.,不太大的、不多的；適中的
era,n.,時代、年代、時期
delicately,adv.,小心翼翼地；巧妙地；精緻地
canvas,n.,油畫布、油畫；帆布
singular,adj.,非凡的、獨特的；單數的
reproduce,v.,重現、重演；繁殖
accuracy,n.,準確（性）、精確（性）；正確
occasional,adj.,偶爾的
endure,v.,持久、持續（不及物）；忍耐、忍受（及物）
cherish,v.,珍惜；鍾愛、珍視
diverse,adj.,形形色色的、各式各樣的；不同的
convenience,n.,便利、方便（不可數）；便利設施（可數）
coordinate,v.,協調（可作及物或不及物用）；相配；使相配合、調和
update,n.,最新消息、新資訊；更新
update,v.,為⋯⋯提供最新資訊；更新、升級
promptly,adv.,迅速、立即；準時地
relieve,v.,減輕（負擔、責任等）；緩和、緩解（疼痛、擔憂等）
bleed,vi,流血
bloody,adj,血腥的
steam,n,蒸氣
stream,n,溪流
streaming,n,串流/線上收看
pump,n,打氣機;抽水機
pump,vt,抽出
elevator,n,電梯;升降機
length,n,長度
width,n,寬度
tower,n,塔;高樓
tower,vi,高聳
tunnel,n,隧道、地道
controller,n,控制者;控制器
thumb,n,拇指
thumb,vt,以拇指撥弄;翻閱;作搭車手勢
alphabet,n,字母系統;字母表
bamboo,n,竹子
cable,n,電纜;巨纜;鋼索
cable TV,,有線電視
cough,n/vi,咳嗽
cough,vt,咳出
crane,n,起重機
crane,n,鶴
data,n,資料;數據
database,n,資料庫
delicious,adj,美味的
dinosaur,n,恐龍
dizzy,adj,暈眩的
donkey,n,驢子
drug,n,藥(物);毒品;對...下藥
drugstore,n,藥房
dumb,adj,啞的;笨的
deaf,adj,聾的
powder,n,粉末;粉狀物
geography,n,地理
nail,n,釘子;指甲
nail,vt,用釘釘牢
hammer,n,鐵鎚
handkerchief,n,手帕
melon,n,香瓜
watermelon,n,西瓜
mosquito,n,蚊子
napkin,n,餐巾
tissue,n,衛生紙
scissors,n,剪刀
semester,n,學期
cotton,n,棉花
skilled,adj,熟練的
squirrel,n,松鼠
subtract,vt,減去
goose,n,鵝
talkative,adj,多話的、健談的
tangerine,n,橘子
terrific,adj,極好的
underwear,n,內衣褲
reception,n,接收/歡迎（會)
receptionist,n,接待員
genuine,adj,真的/純正的/真誠的
genuinely,adv,真正地;誠實地
indication,n,徵兆/象徵
laboratory,n,實驗室
destruction,n,破壞
primitive,adj,原始的
severe,adj,嚴厲的/嚴重的
severely,adv,嚴重地
curve,n/v,彎曲/女性的曲線美；彎曲
participation,n,參與
dignity,n,尊嚴
beneath one's dignity, ,有失身分、有損尊嚴
differ,v,不同
limitation,n,極限
limited,adj,有限的
unlimited,adj,無限的
reduction,n,減少
civilization,n,文明
civilian,adj/n,平民的；平民
conscience,n,良心
lecture,n/v,演講
lecturer,n,演講者/講師
disturb,v,打擾
disturbed,adj,感到不安的
predict,v,預測
prediction,n,預測
forecast,n/v,整合資料與數據所做成預報、預測
cease,n/v,停止
ceasefire,n,停火/停戰
opera,n,歌劇
restriction,n,限制 約束/限制性規定
enforce,v,執行（法律）、實施
enforcement,n,執行、落實
objection,n,反對
objective,n/adj,目標；客觀的
complicate,v,使複雜
complicated,adj,複雜的
era,n,時/年代
dependent,adj/n,依賴的；【生活所需仰賴他人的】家眷、隨從
dependence,n,依賴
dependable,adj,可信賴的
frequency,n,頻率
logic,n,邏輯
logical,adj,合邏輯的
illogical,adj,不合邏輯的
logically,adv,合乎邏輯地
commerce,n,商業
commercial,adj/n,商業的；電視、廣播的廣告
commercialize,v,商業化
presentation,n,表現/演講、簡報
admission,n,承認/允許進入/入場費
guilt,n,罪
adj sense of guilt, ,罪惡感
guilty,adj,有罪的/內疚的
commander,n,指揮官
household,n/adj,家庭；家用的、家庭的
household name, ,家喻戶曉的名字
favorable,adj,贊同的、嘉許的/對～有利的/討人喜歡的
favorably,adv,善意地、贊成地/有力地
unfavorable,adj,不利的
multiple,adj,多樣的
psychology,n,心理學/心裡
psychological,adj,心理的
psychologist,adj,心理學家
equip,v,裝備、配備
equipment,n,設備
funeral,n,葬禮
enthusiasm,n,熱情 熱忱
indeed,adv,確實地;的確地
remove,vt,排除;移除
factor,n,因素
image,n,影像;形象;意象
medical,adj,醫學的；醫療的
discover,vt,發現
account,n,帳戶；描述
on account of=because of, ,因為
individual,adj;n,個別的;個人
relate,vt,使有關聯
relationship,n,關係；關聯
relative,n,親戚;(adj)相對的
relatively,adv,相對地;比較地
style,n,風格
obvious,adj,明顯的
obviously,adv,明顯地
temperature,n,溫度
chapter,n,章節
proper,adj,適當的;合宜的;有禮的
properly,adv,適當地;正確地;恰當地
affect,vt,影響
effect,n,效果；影響
effective,adj,有效的 起作用的
expense,n,花費
attempt,n/vt,試圖;企圖;嘗試
actual,adj,實際的
employ,vt,雇用;運用
capital,n,首都/資本;資金
manage,vt,經營;設法辦到
escape,n./v,逃跑;逃脫
duck,v,閃躲;規避
average,adj,平均的;一般的
author,n,作者
character,n,人格;品格;角色
personality,n,個性
musical,adj,音樂的;(n)音樂劇
combine,vt/vi,結合，組合
describe,vt,描繪;描寫;描述;刻劃
description,n,描述
being,n,存在；生物
chain,n,鍊子;一連串
participate,vi,參加
detail,n,細節
folk,n,人
internal,adj,內部的
identity,n,身分
domestic,adj,國內的;家庭的
domestic violence,n,家暴
engine,n,引擎
engineer,n,工程師
engineer,vt,設計;監督;機巧地處理;策劃
engineering,n,工程;工程學
general,adj.,一般的；非專門的
general,adj.,普遍的；一般的
derive,vi.,起源於
derive,vt.,得到；獲得
release,vt.,公開發行
release,vt.,釋放
release,n.[U],公開發行
release,n.[U],釋放；排放
feature,vt.,以⋯⋯為特色
feature,n.[C],特色；特點
gossip,n.[U],流言；八卦
gossip,vi.,散播流言；說八卦
reveal,vt.,洩漏；透露
chase,vt.vi.,追逐
chase,n.[C],追逐
brand,n.[C],品牌
image,n.[C],影像
image,n.[C],形象
edit,vt.,編輯
edition,n.[C],版本
modify,vt.,修改
modification,n.[C U],修改
digitally,adv.,數位地
digital,adj.,數位的
combine,vt.vi.,結合
combination,n.[C U],結合
standard,adj.,標準的
standard,n.[C U],標準
widespread,adj.,廣泛的
usage,n.[U],（語彙的）用法
constantly,adv.,持續地
constant,adj.,持續的；不斷的
alternative,adj.,另類的；非傳統的
alternative,adj.,替代的
alternative,n.[C],選擇；替代方案
existing,adj.,現有的；現存的
exist,vi.,存在
existence,n.[U],存在
take on,,開始具有
later on,,之後
in the beginning,,起初
too...to...,,太⋯⋯而無法⋯⋯
play a/an...role (in),,扮演⋯⋯的角色
think up,,想出
cultural,adj,文化的
brilliant,adj,光輝的;燦爛的;卓越的;才華橫溢的
culture,n.,培養菌、培養細胞；文化
network,n,網狀系統，網絡
mix,n,混合物
mix,vt,混合
mixture,n,混合物
text,n,文稿;正文
mood,n,心情
journal,n,專業期刊;札記
universe,n,宇宙
command,n/vt,命令、指揮
introduce,v,介紹
membership,n,會員資格
angle,n,角度
schedule,n,時程表
schedule,vt,安排時程
grain,n,穀物、顆粒
pray,v,祈禱
prayer,n,祈禱;禱文
environment,n,環境
environmental,adj,環境的
technology,n,科技；技術
border,n,邊界
border,vt,與...接壤
channel,n,頻道 海峽
blanket,n,毛毯
sheet,n,一張(紙);床單
behave,vi/vt,行為;表現
electric,adj.,電的，用電的
found,vt.,創辦，創立
private,adj,私人的;私有的/不公開的
complex,adj,複雜的
balance,n/vt,平衡;餘額
balanced,adj,均衡的
classic,adj,經典的、典型的、有代表性的
classical,adj,古典的
ancient,adj.,古代的;古老的
recover,vt.,恢復;復原;找回
primary,adj,主要的;基本的
primary school,,小學
secondary,adj,次要的 第二的
secondary education,,中學教育
switch,n,開關
switch,vt/n,轉換;轉變
current,adj,現行的;目前的
current,n,洋流;電流
load,n,負荷
overload,vt.,超過負荷超載;負荷過多
unload,vt,卸貨
download,vt,下載
priest,n,牧師
nerve,n,神經
nerve,n,勇氣
get on one's nerves,,使某人心煩
nervous,adj,緊張的
launch,v/n,發射/使啟航/開始；發表（會）/船隻首航
inspire,v,啟發靈感/激勵
inspiring,adj,激勵人心的
inspiration,n,靈感/鼓舞者
allowance,n,零用錢、津貼
harmony,n,和諧/和聲
harmonious,adj,和諧的
cope,v,應付
realistic,adj,講求實際的
insurance,n,保險
insure,v,投保
outstanding,adj,傑出的/未償付的
depart,v,離開
departure,n,離開、 出發、出境
visual,adj,視覺的
audio-visual,adj,視聽的
visualize,vt,使看得見/使具體化/想象/設想
ryhme,n,韻文/押韻的字
fiction,n,虛構小說
fictional,adj,虛構的
entertain,v,娛樂/招待
entertaining,adj,有趣的/使人娛樂的
entertainment,n,娛樂/款待/娛樂表演
restore,v,重建、修復/恢復
delicate,adj,精緻的
delicacy,n,精美、細緻/美食、佳餚
magnificence,n,壯麗、華麗
