英文,詞性,中文
salmon,n.,鮭魚（單複數同形）
tuna,n.,鮪魚（單複數同形）
undergraduate,n.,大學生
undergraduate,adj.,大學部的
framework,n.,架構，構造
notify,v.,通知，告知
transparent,adj.,透明的
novelty,n.,新奇（不可數），新奇的事物（可數）
outsider,n.,外人，局外人
wrongdoing,n.,惡行
contagious,adj.,有傳染性的
decay,v./n.,腐爛，侵蝕
tick,v.,發出滴答聲，打勾
tip,v.,撕
tip,n.,裂縫，裂口
prohibit,vt.,禁止
fleet,n.,艦隊，隊伍
habitat,n.,棲息地
coherent,adj.,連貫的，前後一致有條理的
sheer,adj.,完全的，純然的
sheer,adv.,陡峭地
intact,adj.,完整無缺的
fragment,n.,碎片，片段
fragment,vi.,使破碎
metaphor,n.,隱喻
acquisition,n.,獲得，添購的物品，收購
unlock,vt.,開鎖，揭開
acute,adj.,敏銳的，急性的，嚴重的
chronic,adj.,慢性的，長期的
pension,n.,退休金，養老金
disapprove,vt.,駁回
disapprove,vi.,反對
foster,vt.,促進，培養
foster,adj.,收養的
rebellion,n.,叛亂，暴動
breakthrough,n.,突破
threshold,n.,門檻，開端
prejudice,n.,偏見
prejudice,vt.,使有偏見
stability,n.,穩定（性）
provoke,vt.,引發，激怒
investigator,n.,調查員
consultation,n.,諮商會
donate,v.,捐贈，捐獻
donation,n.,捐贈，捐贈物
donor,n.,捐贈者
transmission,n.,傳送，傳播
slot,n.,投幣口，時段
slot,vt.,投入狹長孔中
resemblance,n.,相似
respondent,n.,答覆者，應答者
