,,,
progress,n. [U],進步；進展
progress,vi.,進行；進展
preservation,n. [U],維護；保存
preserve,vt.,維護；保留
glimpse,n. [C],短暫的體驗、感受；一瞥；一眼
identity,n. [U],認同；身分
identity,n. [C],身分
development,n. [U],發展
treasure,n. usually pl.,瑰寶（尤指歷史或藝術珍品）
treasure,n. [U],寶藏；金銀財寶
treasure,vt.,珍視；珍藏
replace,vt.,取代；代替
replacement,n. [C],替換物；代替者
endanger,vt.,危及；危害
abundance,n. [U],大量；豐盛
abundant,adj.,大量的；豐富的
campaign,n. [C],（尤指政治、商業或軍事的）活動；運動
campaign,vi.,參加或領導某運動
conclude,vt.,作出結論；斷定
conclusion,n. [C],結論
transport,vt.,（用交通工具）運輸；輸送
transportation,n. [U],交通工具
situated,adj.,位於；坐落在
situate,vt.,使坐落於
drown,vt.,淹沒
drown,vi.,（使）溺斃
spare,vt.,使避免；抽空；撥出
priceless,adj.,極珍貴的；極重要的
relieve,vt.,緩解；減輕
relief,n. sing., [U],（不快後的）解脫；寬心
urban,adj.,城市的；都市的
resident,n. [C],居民；住戶
residence,n. [C],住所；宅第
crucial,adj.,至關重要的；決定性的
urgent,adj.,緊急的；緊迫的
urgency,n. [U],緊迫
enormous,adj.,極大的；龐大的
mission,n. [C],任務
fond,adj.,快樂美好的；深情的；喜愛⋯⋯的
heritage,n.,遺產
take place/happen/occur/go on,phr.,發生
at the cost of/at the price of/at the expense of, ,犧牲；以...為代價
dam,n.,水壩
artificial,a.,人造的；人工的
submerge,v.,淹沒
as a result/as a consequence/in consequence/consequently/thus/therefore/hence,adv.,因此
historic site,n.,歷史遺跡
port,n.,港口
figure out/puzzle out,phr.,想出；弄明白
congestion,n.,（交通）壅塞
demolish,v.,拆除
authority,n.,權力；當局
be made to RV, ,（人）被迫做...
when it comes to N/Ving, ,當涉及...時；談到...時
depend on, ,取決於；視...而定
depend on/rely on/count on, ,依賴
